完全	4648
今年	4646
乜	4642
经常	4639
主要	4639
找到	4635
哼	4621
这边	4615
早就	4604
醒	4601
呃	4597
严重	4593
挂	4588
疼	4566
今日	4566
呜呜	4556
忘	4550
算	4525
加	4520
名字	4509
那种	4500
车	4499
你家	4498
关注	4469
哒	4461
长	4451
为啥	4431
俺	4423
相信	4423
其他	4409
既	4389
未	4386
瘦	4372
有空	4362
下班	4354
晒	4354
掉	4344
边	4333
起床	4324
擦	4312
晓得	4302
绝对	4280
总	4274
疯	4272
医院	4263
坚持	4260
妈妈	4240
上次	4226
呐	4196
外面	4161
慢慢	4150
毕业	4116
马上	4103
重要	4096
啥时候	4083
那些	4076
冇	4075
期待	4075
明白	4055
听说	4051
差	4043
可爱	4040
打电话	4033
点解	4029
学	4020
样子	4018
学习	4017
看见	4001
祝	3984
生日	3976
哥哥	3974
见到	3972
个人	3959
支持	3957
算了	3949
不够	3948
真心	3945
难	3934
每次	3932
试试	3909
头像	3906
怎么办	3902
胖	3900
表示	3889
只要	3888
咧	3875
黑	3867
这次	3861
哪儿	3856
中国	3855
出门	3841
老板	3841
压力	3835
毛	3831
蛮	3822
肉	3819
洗	3810
好久	3803
难受	3760
喝酒	3759
有些	3759
吓	3754
说话	3740
怎样	3727
这些	3720
理解	3711
星期	3688
快点	3666
成	3661
日子	3651
医生	3638
活动	3634
心	3621
看过	3619
超级	3601
介绍	3599
适合	3596
不如	3590
班	3578
过年	3574
睡着	3574
世界	3568
距	3558
放心	3553
几点	3548
郁闷	3541
饭	3525
实在	3504
果然	3500
哎呀	3496
考虑	3495
后来	3492
梦	3484
不怕	3473
坏	3464
好玩	3459
一年	3447
决定	3437
再说	3434
妹	3404
深圳	3392
那天	3391
赢	3385
丢	3384
假	3376
心里	3375
关系	3363
美女	3362
老公	3359
路	3358
如何	3357
随便	3356
变	3354
痛	3353
忘记	3350
俩	3346
宝宝	3338
后面	3336
屎	3336
呦	3328
新年快乐	3326
想想	3300
牛	3298
看着	3288
发生	3288
麻烦	3268
想要	3260
妹子	3245
恶心	3241
一些	3228
字	3220
总是	3213
简单	3209
多谢	3208
骂	3206
食	3203
吹	3202
悲剧	3194
大学	3189
欢迎	3189
越	3186
真系	3174
捏	3174
吐	3169
关心	3159
分	3156
喇	3151
到时候	3149
是因为	3148
非常	3145
远	3142
痛苦	3132
有个	3131
爽	3131
想到	3127
回复	3126
屋企	3125
了解	3121
竟然	3112
遇到	3108
伤心	3100
一个月	3086
空调	3081
嗨	3080
大概	3076
人生	3062
而	3058
咱	3050
推荐	3050
喊	3049
下去	3048
切	3047
才能	3047
喂	3044
久	3033
除了	3024
到底	3023
噗	3019
使	3019
猪	3015
课	3012
三个	3002
与	2999
味道	2981
便宜	2980
病	2975
清楚	2972
丫	2969
抢	2968
鸟	2965
吃药	2964
敢	2963
嘎	2955
担心	2950
呆	2950
评论	2949
鬼	2949
尼玛	2939
一句	2939
实习	2934
专业	2932
那样	2930
就算	2919
联系	2917
照顾	2902
烦	2897
越来越	2897
催	2886
好不好	2883
结束	2880
啥子	2878
们	2877
苦	2870
领导	2856
娃	2855
狗	2849
装	2828
找个	2823
路上	2812
太阳	2810
每个	2804
恨	2801
有钱	2799
选择	2789
站	2785
出现	2780
提前	2778
头发	2778
水	2777
改	2771
正在	2770
激动	2769
下来	2768
一种	2763
简直	2760
躺	2760
脸	2758
这句	2758
刚才	2757
你妹	2754
咋啦	2754
单位	2748
第一次	2745
佢	2741
不好意思	2738
歌	2735
呵	2731
精神	2731
旅游	2728
高兴	2724
耶	2717
平时	2715
咱们	2714
客气	2708
一切	2706
网上	2705
确定	2704
哪有	2703
成功	2698
收到	2677
寂寞	2676
也好	2672
信	2661
三	2659
刺激	2655
耍	2655
生	2651
明显	2648
节目	2644
怪	2639
同事	2638
哎哟	2635
妹妹	2634
滚	2631
没人	2628
别的	2627
不来	2616
俾	2614
年轻	2605
眼睛	2597
关键	2596
嘤	2592
正	2588
明年	2585
果断	2576
状态	2564
几	2559
老婆	2557
说明	2552
成都	2543
安慰	2542
当时	2535
欺负	2531
偶	2531
图	2530
超	2524
比赛	2522
基本	2522
宜家	2516
紧张	2515
跳	2505
原因	2503
有无	2500
埋	2496
问问	2493
上网	2491
不吃	2490
工资	2484
变成	2480
好似	2473
运动	2469
抱抱	2469
要求	2469
贵	2469
飞机	2462
一会	2457
伐	2453
感动	2448
听到	2448
开学	2443
事儿	2443
永远	2441
英语	2441
乖	2439
恐怖	2435
同感	2430
很快	2430
出差	2428
不知	2428
感慨	2426
嘞	2423
香港	2417
头	2411
咔	2410
影响	2408
肚子	2405
聪明	2399
左右	2397
效果	2393
不管	2391
办	2385
冬天	2382
剪	2378
明明	2378
飞	2378
后天	2362
手	2362
通知	2359
抱	2359
伤不起	2356
不去	2343
方便	2333
向	2332
有时候	2323
如此	2322
得闲	2321
感情	2308
作业	2302
她们	2295
迟到	2291
夏天	2289
参加	2289
书	2287
下周	2287
据说	2279
兄弟	2278
健康	2278
进	2276
急	2271
声音	2267
美	2262
早起	2259
抽	2254
去过	2251
保重	2241
票	2240
发烧	2238
唱歌	2237
离	2237
帅哥	2230
百度	2229
坑	2227
些	2220
安排	2220
旁边	2220
刷	2219
嫉妒	2211
去年	2207
接受	2207
惹	2207
之	2204
第一	2203
很大	2203
二	2200
有事	2196
淘宝	2192
儿子	2190
接	2189
半	2183
难过	2183
面试	2183
杭州	2175
女生	2173
这么晚	2173
学生	2172
教	2169
不同	2168
生病	2166
想法	2165
开车	2164
可怕	2163
药	2162
没关系	2162
解释	2161
花	2156
想起	2150
半夜	2147
爆	2138
煮	2136
差点	2135
根本	2129
包	2128
也许	2128
鄙视	2128
计划	2127
悲	2126
白天	2125
日本	2120
定	2119
却	2115
兴趣	2114
儿	2113
后悔	2111
祝福	2110
已	2110
真相	2108
低调	2104
饮	2100
闹	2097
搬	2092
至少	2083
认真	2083
享受	2082
顺便	2081
没得	2080
好事	2071
身边	2069
视频	2068
没错	2067
老子	2065
游戏	2064
卡	2064
微信	2063
没用	2063
惨	2061
叼	2058
稳	2056
难得	2055
电视	2050
早安	2047
进去	2046
多久	2044
我妈	2034
生气	2032
分钟	2031
的确	2029
好久没	2024
私信	2017
复习	2016
偶尔	2014
暑假	2014
床上	2013
不让	2012
同意	2008
苹果	2004
假期	2004
转	2003
骗	1996
木	1993
考完	1990
我刚	1989
宝贝	1989
回到	1982
选	1980
好点	1974
咪	1972
办公室	1967
乱	1966
爸爸	1966
一边	1965
师兄	1961
附近	1958
更好	1955
啧啧	1952
不爽	1949
收	1947
菜	1945
不算	1936
请假	1935
爱情	1929
打球	1926
类	1925
值得	1925
解决	1922
变态	1921
脚	1913
并	1912
受	1910
太多	1909
微薄	1906
现实	1906
好听	1903
正好	1899
小孩	1896
暂时	1890
受不了	1888
反应	1886
囧	1885
度	1882
所有	1880
道理	1870
杀	1869
喽	1858
读	1858
来说	1856
自然	1850
爹	1850
姑娘	1846
汗	1841
边度	1833
低	1833
周六	1830
某人	1830
全部	1830
武汉	1826
聊	1824
看书	1824
礼物	1824
咗	1819
边个	1818
粉丝	1817
我系	1816
输	1816
按	1815
消息	1810
半个	1804
男朋友	1804
速度	1802
口味	1802
美好	1798
贴	1798
放弃	1798
地铁	1789
浪费	1785
出去玩	1785
漂亮	1785
雨	1783
搞笑	1780
肥	1780
没见	1779
得到	1777
论文	1775
前面	1774
奇怪	1774
借	1774
顶	1771
喝点	1769
咬	1767
厦门	1766
厕所	1765
愿意	1764
留	1764
就行了	1764
谢	1764
几次	1755
妞	1754
等到	1750
报	1749
熬夜	1747
喺	1744
店	1743
文艺	1737
懂得	1732
一条	1732
酒	1730
胃	1730
仔	1729
紧	1726
阿姨	1720
近	1718
早餐	1718
我来	1717
读书	1717
抓	1717
咖	1714
围脖	1709
具体	1707
通宵	1707
追	1704
补	1701
开会	1701
哼哼	1693
心态	1690
一张	1690
那就好	1686
停	1684
困	1683
故事	1682
夸张	1681
整个	1681
待	1681
摸摸	1680
洗澡	1679
下雪	1676
目前	1673
离开	1672
请问	1668
腿	1662
摸	1661
两	1661
囖	1658
组织	1657
咱俩	1652
架	1648
要么	1644
混	1640
不得	1638
大叔	1637
将	1635
师姐	1633
窝	1632
电视剧	1630
南京	1628
胖子	1628
要死	1626
聊天	1626
上学	1621
培训	1620
大哥	1619
顺利	1619
练	1619
感受	1617
猫	1615
干什么	1614
气	1612
无法	1611
一半	1611
折腾	1610
屁	1609
老大	1604
张	1603
失望	1603
寝室	1602
谱	1600
背	1599
来看	1597
次	1597
见面	1597
不见	1596
很少	1596
重	1592
相当	1592
对不起	1591
算是	1589
做好	1588
管	1587
一家	1583
卧槽	1581
从来	1580
无奈	1579
美国	1576
女朋友	1575
改天	1573
成绩	1573
一件	1573
节奏	1570
重点	1568
还行	1567
说不定	1565
三天	1563
做梦	1563
